[-0.08961004 -0.18583038],[-0.08949016 -0.99598771]
[0.09171849 0.8370509 ],[ 0.09158995 -0.99579681]
[0.05362398 0.31489299],[ 0.05359828 -0.99856258]
[-0.12946608 -0.29809515],[-0.12910471 -0.99163097]
[0.03299927 0.72046827],[ 0.03299328 -0.99945557]
[-0.00419166  0.14658   ],[-0.00419164 -0.99999122]
[0.04104719 0.06328752],[ 0.04103567 -0.99915768]
[-0.02092263 -0.06391322],[-0.0209211  -0.99978113]
[-0.0062245  -0.01104525],[-0.00622446 -0.99998063]
[-0.01141262 -0.00938862],[-0.01141237 -0.99993488]
[0.0403476  0.17446122],[ 0.04033666 -0.99918615]
[-0.00786987 -0.00209373],[-0.00786979 -0.99996903]
[-0.65343273 -0.43721354],[-0.60791558 -0.79400167]
[0.01118409 0.04678326],[ 0.01118385 -0.99993746]
[ 0.09578069 -0.18536872],[ 0.09563431 -0.99541654]
[0.2457803  1.61430213],[ 0.24331325 -0.96994776]
[0.00830969 0.03454595],[ 0.0083096  -0.99996547]
[-0.00348532 -0.01486387],[-0.00348531 -0.99999393]
[ 0.0176849  -0.01725909],[ 0.01768398 -0.99984363]
[0.05403836 0.04451075],[ 0.05401206 -0.99854028]
[-0.7183062   0.58203273],[-0.65811032 -0.75292152]
[-0.04407867  0.12058339],[-0.0440644  -0.99902869]
[-0.0146084  -0.04070538],[-0.01460788 -0.9998933 ]
[ 0.1728008  -0.21845486],[ 0.1719421  -0.98510706]
[ 0.04127615 -0.19552101],[ 0.04126443 -0.99914826]
[-0.05576723 -1.39016353],[-0.05573833 -0.99844541]
[-0.33973606  0.64174465],[-0.33323825 -0.94284265]
[0.00597908 0.01821096],[ 0.00597904 -0.99998213]
[ 0.05391086 -0.16398831],[ 0.05388475 -0.99854716]
[0.03725186 0.01033912],[ 0.03724324 -0.99930623]
[-0.0107562  -0.13434399],[-0.01075599 -0.99994215]
[0.51159973 0.19156692],[ 0.48957278 -0.87196244]
[0.02937502 0.24856376],[ 0.02937079 -0.99956859]
[-0.00807635  0.0164524 ],[-0.00807626 -0.99996739]
[-0.28059465  1.04475653],[-0.27692709 -0.96089093]
[ 0.34114393 -0.96702153],[ 0.33456532 -0.94237256]
[0.04830437 0.51436284],[ 0.04828558 -0.99883357]
[-0.01066818 -0.00083974],[-0.01066798 -0.9999431 ]
[-0.02961506 -0.03954079],[-0.02961073 -0.99956151]
[0.14623697 0.26417341],[ 0.14571631 -0.98932642]
[ 0.00487044 -0.04935725],[ 0.00487042 -0.99998814]
[ 0.14928701 -0.4408493 ],[ 0.14873311 -0.98887737]
[2.26457976e-02 7.81238973e-05],[ 0.02264386 -0.99974359]
[0.16756932 0.05997176],[ 0.16678621 -0.98599308]
[ 0.00583687 -0.13895321],[ 0.00583684 -0.99998297]
[0.00528058 0.01349654],[ 0.00528055 -0.99998606]
[0.02216645 0.03664144],[ 0.02216463 -0.99975433]
[-0.01979566 -0.12290465],[-0.01979437 -0.99980407]
